Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
21,Tom Brady,NE,QB,12,819,68.2,73.1,3.4,0,56.2,56.2,258.56,31.6,2016
22,Matt Forte,NYJ,RB,14,488,34.9,46.8,44.7,8.8,50.8,53.5,183.6,37.6,2016
23,Le'Veon Bell,PIT,RB,12,781,65.1,72.1,33.4,12,43.1,45.6,317.4,40.6,2016
24,Carlos Hyde,SF,RB,13,535,41.2,51.7,40.6,6.2,45.6,46.7,192.1,35.9,2016
24,Terrance West,BAL,RB,16,443,27.7,39.1,43.6,10.2,51.2,53.7,171,38.6,2016
26,Jordan Howard,CHI,RB,15,654,43.6,64.7,38.5,7.6,43,46.2,230.1,35.2,2016
27,Matt Jones,WAS,RB,7,221,31.6,20.8,44.8,3.6,48.4,48.4,75.3,34.1,2016
28,Andrew Luck,IND,QB,15,1013,67.5,92.4,6.3,0,60.1,60.1,307.7,30.4,2016
29,DeAngelo Williams,PIT,RB,9,271,30.1,25,36.2,10,42.8,46.1,100.1,36.9,2016
30,Taylor Gabriel,ATL,WR,13,349,26.8,33.6,1.1,14.3,11.2,15.5,140,40.1,2016
31,CJ Prosise,SEA,RB,6,147,24.5,13.8,20.4,12.9,32,33.3,61,41.5,2016
32,Spencer Ware,KC,RB,14,546,39,53.3,39.2,7.7,45.2,46.9,193.9,35.5,2016
33,Isaiah Crowell,CLE,RB,16,568,35.5,55.1,34.9,9.3,41.9,44.2,205.1,36.1,2016
34,Colin Kaepernick,SF,QB,12,690,57.5,66.7,10,0,58.1,58.1,200.44,29,2016
35,Drew Brees,NO,QB,16,1151,71.9,100,2,0,60.5,60.5,332.32,28.9,2016
35,Christine Michael,GB,RB,15,398,26.5,38.6,37.2,7.3,42.7,44.5,137,34.4,2016
37,Matt Moore,MIA,QB,4,190,47.5,20,0.5,0,46.3,46.3,54.74,28.8,2016
38,Dak Prescott,DAL,QB,16,1013,63.3,95.6,5.6,0,50.9,50.9,286.88,28.3,2016
39,Kirk Cousins,WAS,QB,16,1063,66.4,100,3.2,0,60.2,60.2,300.28,28.2,2016
40,Kenneth Dixon,BAL,RB,12,258,21.5,22.8,34.1,15.9,45.7,50,102.4,39.7,2016
41,Tyrod Taylor,BUF,QB,15,969,64.6,91.1,9.8,0,54.9,54.9,270.92,28,2016
41,DeMarco Murray,TEN,RB,16,861,53.8,81,34,7.8,40.4,42,293.8,34.1,2016
43,CJ Anderson,DEN,RB,7,313,44.7,29,35.1,7.7,40.3,42.8,102.5,32.7,2016
44,Marquess Wilson,CHI,WR,3,80,26.7,7.9,0,20,11.2,20,31,38.8,2016
45,Ben Roethlisberger,PIT,QB,14,921,65.8,85,1.7,0,57,57,252.16,27.4,2016
45,Robert Turbin,IND,RB,15,300,20,27.4,15.7,11.7,24.3,27.3,108.3,36.1,2016
47,Frank Gore,IND,RB,16,650,40.6,59.3,40.5,7.2,46.3,47.7,214.3,33,2016
48,Matthew Stafford,DET,QB,16,1037,64.8,100,3.6,0,60.8,60.8,279.78,27,2016
48,Marcus Mariota,TEN,QB,15,963,64.2,90.6,6.2,0.1,53.1,53.2,259.94,27,2016
50,Russell Wilson,SEA,QB,16,1008,63,94.8,7.1,0.2,61.5,61.5,270.06,26.8,2016
51,Nick Foles,KC,QB,3,106,35.3,10.4,3.8,0,55.7,55.7,28,26.4,2016
52,Bilal Powell,NYJ,RB,16,531,33.2,50.9,24.7,13.9,35.6,38.6,197,37.1,2016
53,Ladarius Green,PIT,TE,6,140,23.3,12.9,0,24.3,12.9,24.3,54.4,38.9,2016
54,Lamar Miller,HOU,RB,14,624,44.6,55.5,42.9,6.2,47.9,49.2,191.1,30.6,2016
54,Theo Riddick,DET,RB,10,423,42.3,40.8,21.7,15.8,34.3,37.6,161.8,38.3,2016
56,Derek Carr,OAK,QB,15,1048,69.9,93.7,3.6,0,57,57,268.22,25.6,2016
56,Zach Zenner,DET,RB,14,293,20.9,28.3,30,7.8,36.2,37.9,93,31.7,2016
58,Brian Hoyer,CHI,QB,6,314,52.3,31.1,2.2,0,65.9,65.9,79.6,25.4,2016
59,Ryan Tannehill,MIA,QB,13,758,58.3,80,5.1,0,56.5,56.5,190.2,25.1,2016
59,Julio Jones,ATL,WR,14,706,50.4,67.9,0,18.3,11.8,18.3,259.9,36.8,2016
61,Cam Newton,CAR,QB,15,1022,68.1,92.2,8.8,0,58.7,58.7,254.26,24.9,2016
62,Matt Asiata,MIN,RB,16,407,25.4,38.7,29.7,9.3,37.6,39.1,132.5,32.6,2016
63,Ty Montgomery,GB,RB,15,392,26.1,36,19.6,14.3,30.9,33.9,140.5,35.8,2016
64,Jonathan Stewart,CAR,RB,13,566,43.5,51.1,38.5,3.7,39.9,42.2,146.4,25.9,2016
65,Alex Smith,KC,QB,15,917,61.1,89.6,5.2,0.1,58.7,58.7,224.78,24.5,2016
66,Blake Bortles,JAX,QB,16,1111,69.4,99.9,5.2,0.1,61.6,61.6,271.1,24.4,2016
66,Philip Rivers,LAC,QB,16,1064,66.5,99.5,1.3,0,55.6,55.6,258.94,24.3,2016
66,Jimmy Garoppolo,NE,QB,6,144,24,12.8,6.9,0.7,51.4,51.4,35.98,25,2016
69,Andy Dalton,CIN,QB,16,1085,67.8,99.8,4.2,0,56.1,56.1,260.64,24,2016
69,Chris Ivory,JAX,RB,11,311,28.3,28,37.6,9,44.1,46.6,94.5,30.4,2016
71,Ray Ray Armstrong,SF,ILB,2,69,34.5,6,0,0,0,0,16.5,23.9,2016
72,James White,NE,RB,16,427,26.7,38.1,9.1,20.1,23.2,29.3,161.7,37.9,2016
73,Eddie Lacy,GB,RB,5,166,33.2,15.3,42.8,4.2,45.2,47,42.8,25.8,2016
74,Carson Palmer,ARI,QB,15,1045,69.7,90.8,1.3,0,58.5,58.5,243.12,23.3,2016
74,Rashad Jennings,NYG,RB,13,443,34.1,41.8,40.9,9.5,48.8,50.3,138.4,31.2,2016
74,Keenan Allen,LAC,WR,1,27,27,2.5,0,25.9,22.2,25.9,12.3,45.6,2016
77,Shane Vereen,NYG,RB,5,117,23.4,11,28.2,16.2,37.6,44.4,38.2,32.6,2016
78,Dion Lewis,NE,RB,7,163,23.3,14.5,39.3,14.7,49.7,54,54.7,33.6,2016
79,Jameis Winston,TB,QB,16,1122,70.1,98.7,4.6,0,55.2,55.2,256.4,22.9,2016
80,Jacquizz Rodgers,TB,RB,10,341,34.1,31.8,37.8,4.7,41.6,42.5,90.8,26.6,2016
81,Sam Bradford,MIN,QB,15,979,65.3,93,2,0.1,58.5,58.5,221.88,22.7,2016
82,Devontae Booker,DEN,RB,16,497,31.1,46.1,35,9.3,41.2,44.3,142.7,28.7,2016
83,JJ Nelson,ARI,WR,15,471,31.4,40.9,0.8,15.7,8.1,16.6,139.1,29.5,2016
83,Doug Martin,TB,RB,8,321,40.1,28.2,44.9,5,49.2,49.8,85.5,26.6,2016
85,Cody Kessler,CLE,QB,9,349,38.8,33.9,3.2,0,59,59,77,22.1,2016
86,Robert Griffin III,CLE,QB,5,302,60.4,29.3,10.3,0,58.9,58.9,66.44,22,2016
86,Randy Gregory,DAL,DE,2,66,33,6.3,0,0,0,0,14.5,22,2016
88,Mike Evans,TB,WR,16,950,59.4,83.6,0,18.2,10.1,18.2,304.1,32,2016
88,Jeremy Langford,CHI,RB,12,248,20.7,24.5,25,10.9,32.7,35.9,73.2,29.5,2016
90,Joe Flacco,BAL,QB,16,1111,69.4,98,1.9,0,62.4,62.4,242.48,21.8,2016
90,Charlie Whitehurst,CLE,QB,1,43,43,19.8,4.7,0,60.5,60.5,9.38,21.8,2016
92,AJ Green,CIN,WR,10,554,55.4,51,0,18.1,11.9,18.1,186.4,33.6,2016
93,Darren Sproles,PHI,RB,15,511,34.1,45.1,18.4,13.9,28.6,32.3,162.5,31.8,2016
94,Paul Perkins,NYG,RB,14,289,20.6,27.2,38.8,8.3,43.9,47.1,76.8,26.6,2016
95,Trevor Siemian,DEN,QB,14,903,64.5,83.7,3.1,0,56.9,56.9,191.74,21.2,2016
96,Eli Manning,NYG,QB,16,1061,66.3,100,2.1,0,58.4,58.4,224.18,21.1,2016
96,Giovani Bernard,CIN,RB,10,394,39.4,36.2,23.1,12.9,33,36,122.3,31,2016
96,Blaine Gabbert,SF,QB,6,344,57.3,33.3,11.6,0.3,58.4,58.4,73.7,21.4,2016
96,Landry Jones,PIT,QB,8,161,20.1,14.9,3.7,0,57.1,57.1,33.92,21.1,2016
100,Todd Gurley,LAR,RB,16,741,46.3,73.8,37.5,7.8,43.3,45.3,198.2,26.7,2016
101,Armonty Bryant,DET,DE,5,104,20.8,9.9,0,0,0,0,21.6,20.8,2016
102,Antonio Brown,PIT,WR,15,975,65,90,0.3,15.8,11.2,16.1,307.3,31.5,2016
102,Jerick McKinnon,MIN,RB,15,511,34.1,48.5,31.1,10.4,39.7,41.7,148.4,29,2016
102,Thomas Rawls,SEA,RB,9,303,33.7,28.5,36,5.6,40.3,41.6,75.5,24.9,2016
105,Jordy Nelson,GB,WR,16,1015,63.4,93.3,0,15,9.6,15,304.7,30,2016
106,Rob Gronkowski,NE,TE,8,354,44.2,31.6,0,10.7,7.1,10.7,97,27.4,2016
107,Danielle Hunter,MIN,DE,16,598,37.4,58,0,0,0,0,120.5,20.2,2016
108,Chris Thompson,WAS,RB,16,489,30.6,46,13.9,12.7,23.9,26.6,147.5,30.2,2016
109,Vic Beasley,ATL,DE,16,671,41.9,60.4,0,0,0,0,134.1,20,2016
109,Duke Johnson,CLE,RB,16,457,28.6,44.4,16,16.2,27.8,32.4,144.2,31.6,2016
111,Josh McCown,CLE,QB,5,262,52.4,25.4,2.7,0,65.6,65.6,52.1,19.9,2016
112,Kendall Wright,TEN,WR,11,309,28.1,29.1,0.3,13.9,9.7,14.2,90.1,29.2,2016
113,Odell Beckham Jr,NYG,WR,16,1002,62.6,94.4,0.1,16.9,10.2,17,296.6,29.6,2016
114,T.Y. Hilton,IND,WR,16,947,59.2,86.4,0,16.4,9.6,16.4,273.8,28.9,2016
115,Brandin Cooks,NO,WR,16,880,55,76.5,0.7,13.3,9.5,14,246.3,28,2016
116,Carson Wentz,PHI,QB,16,1127,70.4,99.5,4.1,0.1,58,58,213.98,19,2016
116,Michael Thomas,NO,WR,15,865,57.7,75.2,0,14,10.6,14,255.7,29.6,2016
116,Dez Bryant,DAL,WR,13,688,52.9,64.9,0,14,7.4,14.1,180,26.2,2016
116,Cole Beasley,DAL,WR,16,604,37.8,57,0.2,16.2,12.7,16.6,189,31.3,2016
120,Davante Adams,GB,WR,16,915,57.2,84.1,0,13.2,8.2,13.2,246.7,27,2016
120,Rishard Matthews,TEN,WR,16,781,48.8,73.5,0,13.8,8.3,13.8,211.5,27.1,2016
120,Mario Addison,CAR,DE,14,433,30.9,40.5,0,0,0,0,81.25,18.8,2016
120,Connor Cook,OAK,QB,1,32,32,2.9,0,0,65.6,65.6,6,18.8,2016
124,Case Keenum,LAR,QB,10,595,59.5,59.3,3.4,0,57.5,57.5,111.14,18.7,2016
124,Keith Tandy,TB,FS,16,404,25.2,38.1,0,0,0,0,75.5,18.7,2016
126,Charcandrick West,KC,RB,15,358,23.9,35,24.6,9.5,32.4,34.1,94.1,26.3,2016
127,Daniel Sorensen,KC,FS,16,540,33.8,48.3,0,0,0,0,99.3,18.4,2016
127,NaVorro Bowman,SF,ILB,4,252,63,22,0,0,0,0,46.3,18.4,2016
127,Charles Sims,TB,RB,7,238,34,20.9,21.4,13.4,31.5,34.9,67.9,28.5,2016
130,Sammie Coates,PIT,WR,14,313,22.4,28.9,1.3,15.7,8,16.9,77.9,24.9,2016
131,Jordan Reed,WAS,TE,12,568,47.3,53.4,0,15.7,11.6,15.7,168.6,29.7,2016
132,Michael Crabtree,OAK,WR,16,835,52.2,74.6,0,17.4,10.7,17.4,239.3,28.7,2016
132,Nathan Stupar,NO,OLB,16,376,23.5,35.8,0,0,0,0,67.5,18,2016
134,Jacoby Brissett,NE,QB,3,158,52.7,14.1,10.1,0,44.9,44.9,28.3,17.9,2016
135,Doug Baldwin,SEA,WR,16,896,56,84.3,0.3,14,10.9,14.4,253.6,28.3,2016
136,DeSean Jackson,WAS,WR,15,707,47.1,66.5,0,14.1,7.9,14.1,180.5,25.5,2016
136,Luke Kuechly,CAR,ILB,10,655,65.5,61.3,0,0,0,0,115.6,17.6,2016
138,Khalil Mack,OAK,OLB,16,949,59.3,90.5,0,0,0,0,165.7,17.5,2016
138,Vontaze Burfict,CIN,OLB,11,674,61.3,62.3,0,0,0,0,117.8,17.5,2016
138,Cameron Wake,MIA,DE,16,589,36.8,51.1,0,0,0,0,102.95,17.5,2016
141,Ryan Fitzpatrick,NYJ,QB,14,765,54.6,73.3,4.3,0,57,57,133.4,17.4,2016
141,Markus Golden,ARI,DE,16,761,47.6,70.9,0,0,0,0,132.05,17.4,2016
141,Delanie Walker,TEN,TE,15,707,47.1,66.5,0.3,14.4,9.5,14.7,188.1,26.6,2016
144,Brock Osweiler,HOU,QB,15,978,65.2,87,3.1,0.1,55.3,55.3,169.78,17.4,2016
144,Danny Amendola,NE,WR,12,267,22.2,23.8,0,10.9,8.6,10.9,69.3,26,2016
146,Nick Perry,GB,OLB,14,606,43.3,58.7,0,0,0,0,104.05,17.2,2016
146,Sio Moore,ARI,ILB,8,412,51.5,46.8,0,0,0,0,71,17.2,2016
146,Matt Barkley,CHI,QB,7,412,58.9,45.6,1.7,0.2,54.4,54.4,71.84,17.4,2016
149,Justin Houston,KC,OLB,5,295,59,26.4,0,0,0,0,50.5,17.1,2016
149,Trovon Reed,LAC,CB,6,123,20.5,30.9,0,0,0,0,21,17.1,2016
151,Kwon Alexander,TB,ILB,16,1022,63.9,96.3,0,0,0,0,174.2,17,2016
151,Joey Bosa,LAC,DE,12,562,46.8,53.1,0,0,0,0,95.6,17,2016
151,Jay Cutler,CHI,QB,5,275,55,27.2,1.8,0,51.6,51.6,46.76,17,2016
154,Kelvin Benjamin,CAR,WR,16,800,50,72.2,0,14.8,7.9,14.8,197.1,24.6,2016
155,Jatavis Brown,LAC,OLB,12,599,49.9,56.6,0,0,0,0,100.2,16.7,2016
156,Tyrell Williams,LAC,WR,16,893,55.8,83.5,0,13.3,7.7,13.3,216.9,24.3,2016
156,Mason Foster,WAS,ILB,16,770,48.1,70.3,0,0,0,0,128,16.6,2016
156,Neville Hewitt,MIA,ILB,16,353,22.1,30.6,0,0,0,0,58.5,16.6,2016
159,Lorenzo Alexander,BUF,OLB,16,788,49.2,73.4,0,0,0,0,130.3,16.5,2016
159,Denzel Perryman,LAC,ILB,12,484,40.3,45.7,0,0,0,0,79.8,16.5,2016
159,Elandon Roberts,NE,LB,13,270,20.8,26.3,0,0,0,0,44.5,16.5,2016
162,Zach Brown,BUF,ILB,16,980,61.2,91.2,0,0,0,0,161.2,16.4,2016
163,Kenny Britt,LAR,WR,15,787,52.5,78.4,0,14.1,8.6,14.1,196.2,24.9,2016
163,Ryan Shazier,PIT,ILB,13,771,59.3,73.8,0,0,0,0,126,16.3,2016
163,Gerald Hodges,SF,OLB,15,583,38.9,50.8,0,0,0,0,95,16.3,2016
163,Hunter Henry,LAC,TE,15,575,38.3,53.8,0,9.2,6.3,9.2,129.8,22.6,2016
167,Cameron Brate,TB,TE,15,705,47,62,0,11.5,8.1,11.5,171,24.3,2016
167,Antonio Gates,LAC,TE,14,586,41.9,54.8,0,15.9,9,15.9,147.8,25.2,2016
167,Ramik Wilson,KC,ILB,11,523,47.5,66.1,0,0,0,0,84.5,16.2,2016
167,Tyler Eifert,CIN,TE,8,428,53.5,39.4,0,11,6.8,11,98.4,23,2016
171,Willie Snead,NO,WR,15,740,49.3,64.3,0,14.1,9.9,14.2,191.5,25.9,2016
171,Cameron Meredith,CHI,WR,14,703,50.2,69.5,0.1,13.8,9.7,14.1,179.48,25.5,2016
171,Spencer Paysinger,MIA,OLB,15,333,22.2,28.9,0,0,0,0,53.5,16.1,2016
171,Paxton Lynch,DEN,QB,3,176,58.7,16.3,6.2,0,53.4,53.4,28.38,16.1,2016
175,Adam Thielen,MIN,WR,16,787,49.2,74.7,0.3,11.7,9,11.9,195.2,24.8,2016
175,Matt Cassel,TEN,QB,4,98,24.5,9.2,4.1,0,56.1,56.1,15.66,16,2016
177,Bobby Wagner,SEA,ILB,16,1072,67,99.4,0,0,0,0,170.6,15.9,2016
177,Kenny Stills,MIA,WR,16,795,49.7,83.9,0,10.2,5.3,10.2,168.6,21.2,2016
177,Jamison Crowder,WAS,WR,16,784,49,73.8,0.3,12.6,8.8,12.9,191.5,24.4,2016
177,Blake Martinez,GB,ILB,13,438,33.7,42.4,0,0,0,0,69.5,15.9,2016
181,Steve Smith,BAL,WR,14,721,51.5,63.6,0,14,9.7,14,183.9,25.5,2016
181,Stefon Diggs,MIN,WR,13,693,53.3,65.8,0.4,16.2,12.6,16.6,193.3,27.9,2016
183,Landon Collins,NYG,SS,16,1105,69.1,99.5,0,0,0,0,173.5,15.7,2016
183,Jimmy Graham,SEA,TE,16,790,49.4,74.3,0.1,12,8.4,12.2,189.3,24,2016
183,Eddie Royal,CHI,WR,9,311,34.6,30.8,0,13.8,10.6,13.8,81.9,26.3,2016
183,Justin Forsett,DEN,RB,9,265,29.4,28.8,32.8,10.2,40.4,43,61.6,23.2,2016
187,Travis Benjamin,LAC,WR,14,549,39.2,51.4,0.4,13.7,9.1,14.2,132.4,24.1,2016
187,Arian Foster,MIA,RB,4,85,21.2,9,25.9,11.8,32.9,37.6,19.3,22.7,2016
189,Travis Kelce,KC,TE,16,888,55.5,86.7,0.1,13.2,9.7,13.3,223,25.1,2016
189,Donte Moncrief,IND,WR,9,468,52,42.7,0.2,12,6.6,12.2,102.6,21.9,2016
189,Matt Judon,BAL,OLB,14,308,22,29.6,0,0,0,0,47.8,15.5,2016
192,Von Miller,DEN,OLB,16,933,58.3,81.8,0,0,0,0,143.7,15.4,2016
192,Jarvis Landry,MIA,WR,16,892,55.8,94.1,0.6,14.7,11.2,15.4,231.3,25.9,2016
192,Emmanuel Sanders,DEN,WR,16,868,54.2,80.4,0.1,15.8,9.2,15.9,212.6,24.5,2016
192,Stacy McGee,OAK,DE,9,220,24.4,21,0,0,0,0,33.85,15.4,2016
196,Demaryius Thomas,DEN,WR,16,889,55.6,82.4,0,16.2,10.1,16.2,226.3,25.5,2016
196,Golden Tate,DET,WR,16,866,54.1,83.5,1.2,15.6,11.7,16.7,223.1,25.8,2016
196,Ted Ginn,CAR,WR,16,688,43,62.1,2,13.8,9.9,15.8,159,23.1,2016
199,Benardrick McKinney,HOU,ILB,16,920,57.5,92.4,0,0,0,0,140.3,15.2,2016
199,Terrelle Pryor,CLE,WR,16,899,56.2,87.3,0.9,15.6,10.5,17.5,213.44,23.7,2016
199,Calais Campbell,ARI,DE,16,828,51.8,77.1,0,0,0,0,126,15.2,2016
199,TJ Yeldon,JAX,RB,15,576,38.4,51.8,22.6,11.8,31.2,34.4,137.7,23.9,2016
199,Justin Simmons,DEN,FS,13,296,22.8,26,0,0,0,0,44.9,15.2,2016
199,Darrius Heyward-Bey,PIT,WR,10,233,23.3,21.5,0.4,8.2,3,8.6,41.4,17.8,2016
199,CJ Wilson,CHI,NT,6,128,21.3,28.7,0,0,0,0,19.5,15.2,2016
206,Julian Edelman,NE,WR,16,877,54.8,78.2,1.4,18.1,12.5,19.5,230.3,26.3,2016
206,Eric Kendricks,MIN,ILB,15,869,57.9,84.3,0,0,0,0,131,15.1,2016
206,Pierre Garcon,WAS,WR,16,808,50.5,76,0,14.1,9.8,14.1,201.1,24.9,2016
206,James Starks,GB,RB,9,265,29.4,24.4,23.8,9.4,30.9,33.2,58.9,22.2,2016
210,Mike Wallace,BAL,WR,16,872,54.5,76.9,0.6,13.3,8.8,13.9,202.8,23.3,2016
210,Jacoby Glenn,CHI,CB,7,244,34.9,49.6,0,0,0,0,36.5,15,2016
212,Amari Cooper,OAK,WR,16,997,62.3,89.1,0.1,13.1,8.3,13.2,230.9,23.2,2016
212,Frank Clark,SEA,DE,15,683,45.5,63.3,0,0,0,0,101.95,14.9,2016
212,Tyler Lockett,SEA,WR,15,558,37.2,52.5,1.1,11.8,8.4,12.9,124.1,22.2,2016
212,Eric Decker,NYJ,WR,3,211,70.3,20.2,0,10,4.3,10,40.4,19.1,2016
216,Karlos Dansby,CIN,ILB,16,781,48.8,72.2,0,0,0,0,115.5,14.8,2016
216,Trent Murphy,WAS,DE,16,675,42.2,61.6,0,0,0,0,99.8,14.8,2016
216,Shane Ray,DEN,OLB,16,666,41.6,58.4,0,0,0,0,98.25,14.8,2016
219,Deion Jones,ATL,ILB,15,896,59.7,80.6,0,0,0,0,131.5,14.7,2016
219,Jake Ryan,GB,ILB,14,558,39.9,54.1,0,0,0,0,82,14.7,2016
221,Zach Orr,BAL,ILB,15,961,64.1,92.3,0,0,0,0,140,14.6,2016
221,Su'a Cravens,WAS,SS,11,297,27,27.1,0,0,0,0,43.4,14.6,2016
223,Aaron Donald,LAR,DT,16,829,51.8,76.1,0,0,0,0,119.8,14.5,2016
223,James Harrison,PIT,LB,15,587,39.1,56.2,0,0,0,0,85,14.5,2016
223,William Hayes,LAR,DE,14,513,36.6,47.1,0,0,0,0,74.3,14.5,2016
226,Jerrell Freeman,CHI,ILB,12,806,67.2,75,0,0,0,0,116,14.4,2016
226,Brandon Graham,PHI,DE,16,764,47.8,75,0,0,0,0,109.8,14.4,2016
226,Korey Toomer,LAC,ILB,13,544,41.8,63.3,0,0,0,0,78.5,14.4,2016
226,Sammy Watkins,BUF,WR,8,382,47.8,35.9,0,13.6,7.3,13.6,83,21.7,2016
230,Vance McDonald,SF,TE,11,442,40.2,42.7,0,10.2,5.4,10.2,87.1,19.7,2016
230,Justin Durant,DAL,ILB,13,280,21.5,26.5,0,0,0,0,40,14.3,2016
230,Pernell McPhee,CHI,OLB,9,274,30.4,25.5,0,0,0,0,39.3,14.3,2016
233,Eli Rogers,PIT,WR,13,550,42.3,50.8,0.2,12,8.9,12.2,126,22.9,2016
233,Leonard Floyd,CHI,OLB,12,537,44.8,50,0,0,0,0,76.25,14.2,2016
233,Zach Miller,CHI,TE,10,511,51.1,50.5,0,12.5,9.2,12.5,119.6,23.4,2016
233,Dannell Ellerbe,NO,ILB,9,444,49.3,42.2,0,0,0,0,63,14.2,2016
233,Justin Hunter,BUF,WR,13,303,23.3,28.8,0,7.6,3.3,7.6,52.9,17.5,2016
238,Sean Lee,DAL,OLB,15,976,65.1,92.5,0,0,0,0,137.5,14.1,2016
238,Trey Flowers,NE,DE,16,563,35.2,54.8,0,0,0,0,79.4,14.1,2016
238,Breshad Perriman,BAL,WR,16,484,30.2,42.7,0.2,13.6,7,13.8,101.1,20.9,2016
241,Alec Ogletree,LAR,ILB,16,1089,68.1,100,0,0,0,0,152,14,2016
241,Jason Pierre-Paul,NYG,DE,12,792,66,71.4,0,0,0,0,111.25,14,2016
241,Anthony Chickillo,PIT,OLB,15,316,21.1,30.2,0,0,0,0,44.2,14,2016
244,Tavon Wilson,DET,SS,15,708,47.2,68.9,0,0,0,0,98.5,13.9,2016
244,Eddie Goldman,CHI,NT,6,198,33,18.4,0,0,0,0,27.45,13.9,2016
246,Bud Dupree,PIT,OLB,7,318,45.4,30.4,0,0,0,0,44,13.8,2016
246,Blake Countess,LAR,SS,5,141,28.2,29.6,0,0,0,0,19.5,13.8,2016
246,Shaun Hill,MIN,QB,3,74,24.7,7,6.8,0,54.1,54.1,10.18,13.8,2016
249,Telvin Smith,JAX,OLB,16,1048,65.5,97.4,0,0,0,0,143.5,13.7,2016
249,Lavonte David,TB,OLB,16,1041,65.1,98.1,0,0,0,0,142.7,13.7,2016
249,Lawrence Timmons,PIT,OLB,16,950,59.4,90.9,0,0,0,0,130.6,13.7,2016
249,Shaq Thompson,CAR,OLB,14,535,38.2,50,0,0,0,0,73.5,13.7,2016
249,Sean Weatherspoon,ATL,ILB,4,190,47.5,17.1,0,0,0,0,26,13.7,2016
254,Linval Joseph,MIN,NT,16,720,45,69.8,0,0,0,0,97.7,13.6,2016
254,Terrell Suggs,BAL,OLB,15,695,46.3,66.8,0,0,0,0,94.7,13.6,2016
254,Alshon Jeffery,CHI,WR,12,692,57.7,68.4,0,13.6,7.5,13.6,146.1,21.1,2016
254,Damon Harrison,NYG,NT,16,674,42.1,60.7,0,0,0,0,91.7,13.6,2016
254,Vincent Rey,CIN,OLB,16,592,37,54.8,0,0,0,0,80.5,13.6,2016
259,Chandler Jones,ARI,DE,16,938,58.6,87.3,0,0,0,0,126.7,13.5,2016
259,Bruce Irvin,OAK,DE,16,927,57.9,88.4,0,0,0,0,124.8,13.5,2016
259,Jadeveon Clowney,HOU,OLB,14,740,52.9,74.3,0,0,0,0,99.6,13.5,2016
259,Todd Davis,DEN,ILB,16,700,43.8,61.4,0,0,0,0,94.75,13.5,2016
259,Jarvis Jones,PIT,OLB,14,474,33.9,45.4,0,0,0,0,64,13.5,2016
259,Jared Goff,LAR,QB,7,393,56.1,39.1,2,0,54.2,54.2,53.16,13.5,2016
259,Kemal Ishmael,ATL,OLB,13,310,23.8,27.9,0,0,0,0,42,13.5,2016
