Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
1,Ryan Mathews,PHI,RB,13,287,22.1,25.3,54,4.9,58.5,58.9,144.6,50.4,2016
2,Tevin Coleman,ATL,RB,13,353,27.2,33.9,33.4,11.3,42.2,44.8,191.1,54.1,2016
3,LeGarrette Blount,NE,RB,16,529,33.1,47.2,56.5,1.5,57.8,58,232.9,44,2016
4,Ezekiel Elliott,DAL,RB,15,716,47.7,67.5,45,5.6,49.4,50.6,325.4,45.4,2016
5,LeSean McCoy,BUF,RB,15,645,43,60.6,36.3,9,44.2,45.3,299.3,46.4,2016
6,Danny Woodhead,LAC,RB,2,55,27.5,5.1,34.5,14.5,45.5,49.1,27.1,49.3,2016
7,Ameer Abdullah,DET,RB,2,57,28.5,5.5,31.6,8.8,40.4,40.4,26.8,47,2016
8,Devonta Freeman,ATL,RB,16,605,37.8,58.2,37.5,10.7,46.4,48.3,284.1,47,2016
9,Mark Ingram,NO,RB,16,530,33.1,46,38.7,10.9,47.4,49.6,242.2,45.7,2016
10,Aaron Rodgers,GB,QB,16,1066,66.6,98,6.3,0,63.5,63.5,380.02,35.6,2016
11,Jeremy Hill,CIN,RB,15,443,29.5,40.8,50.1,6.1,54.9,56.2,176.3,39.8,2016
12,Rob Kelley,WAS,RB,15,345,23,32.5,48.7,5.2,52.2,53.9,132.6,38.4,2016
13,Matt Ryan,ATL,QB,16,1022,63.9,98.3,3.4,0,55.7,55.7,347.46,34,2016
13,David Johnson,ARI,RB,16,964,60.2,83.8,30.4,12.4,38.7,42.8,407.8,42.3,2016
15,Latavius Murray,OAK,RB,14,525,37.5,46.9,37.1,8.2,43.4,45.3,208.2,39.7,2016
16,Tyreek Hill,KC,WR,16,418,26.1,40.8,5.7,19.9,20.3,25.6,199,47.6,2016
17,Cameron Artis-Payne,CAR,RB,3,84,28,7.6,42.9,1.2,44,44,28.5,33.9,2016
18,Jay Ajayi,MIA,RB,15,582,38.8,61.4,44.7,6,49.3,50.7,215.3,37,2016
19,Andre Williams,LAC,RB,1,27,27,13,66.7,7.4,66.7,74.1,8.7,32.2,2016
20,Melvin Gordon,LAC,RB,13,661,50.8,61.8,38.4,8.6,44.6,47,250.6,37.9,2016
