Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
17,Andre Ellington,ARI,RB,15,405,27,37.4,29.1,14.1,38.8,43.2,165.3,40.8,2013
18,Michael Vick,PHI,QB,7,325,46.4,29.5,11.1,0,54.5,54.5,101,31.1,2013
19,Chris Ivory,NYJ,RB,15,331,22.1,31.5,55,2.1,55.6,57.1,104.3,31.5,2013
20,Eddie Lacy,GB,RB,15,679,45.3,60.5,41.8,6.5,47,48.3,242.5,35.7,2013
20,DeMarco Murray,DAL,RB,14,671,47.9,67.3,32.3,9.8,40.2,42.2,258.1,38.5,2013
22,Reggie Bush,DET,RB,14,611,43.6,53.8,36.5,13.1,45.3,49.6,239.2,39.1,2013
23,Adrian Peterson,MIN,RB,14,674,48.1,64.7,41.4,5.9,45.7,47.3,232.7,34.5,2013
24,Danny Woodhead,LAC,RB,16,491,30.7,44.2,21.6,17.7,37.1,39.3,223.4,45.5,2013
25,Shane Vereen,NE,RB,8,294,36.8,47,15,23.5,31,38.4,134.5,45.7,2013
26,Joique Bell,DET,RB,16,554,34.6,48.8,30,12.5,39.5,42.4,216.7,39.1,2013
27,Cam Newton,CAR,QB,16,1014,63.4,98.5,10.9,0,57.6,57.6,297.66,29.4,2013
28,DeAngelo Williams,CAR,RB,15,470,31.3,45.7,42.8,7.7,48.3,50.4,163.6,34.8,2013
29,Aaron Rodgers,GB,QB,9,582,64.7,51.9,5.2,0,55,55,169.44,29.1,2013
29,Bobby Rainey,TB,RB,16,327,20.4,31.6,45.9,5.8,50.8,52,110.2,33.7,2013
31,Jimmy Graham,NO,TE,16,754,47.1,66.9,0,18.8,11.4,18.8,303.5,40.3,2013
32,Darren Sproles,NO,RB,15,357,23.8,31.7,14.8,24.9,34.7,39.8,173.4,48.6,2013
33,Matt Forte,CHI,RB,16,928,58,87.8,31,10.2,39.1,41.3,338.3,36.5,2013
33,Tony Romo,DAL,QB,15,919,61.3,92.2,2.2,0,60.4,60.4,260.92,28.4,2013
35,Fred Jackson,BUF,RB,16,663,41.4,57.1,31.2,9.8,38.2,41,233.1,35.2,2013
36,Alfred Morris,WAS,RB,16,604,37.8,52.8,45.7,2,47.2,47.7,178.3,29.5,2013
37,Andrew Luck,IND,QB,16,1047,65.4,97.9,6,0,60.5,60.5,292.58,27.9,2013
38,Russell Wilson,SEA,QB,16,973,60.8,96.1,9.9,0,51.7,51.7,270.18,27.8,2013
38,Zac Stacy,LAR,RB,14,566,40.4,56.4,44.2,6.2,48.8,50.4,183.4,32.4,2013
40,Steven Jackson,ATL,RB,12,417,34.8,38.7,37.4,11.8,45.3,49.2,148.3,35.6,2013
41,Rashard Mendenhall,ARI,RB,15,459,30.6,42.3,47.3,4.6,51.2,51.9,144.1,31.4,2013
42,Colin Kaepernick,SF,QB,16,969,60.6,97.8,9.5,0,52.4,52.4,264.28,27.3,2013
43,Giovani Bernard,CIN,RB,16,613,38.3,54.2,27.7,11.6,36.9,39.3,222.9,36.4,2013
44,Dwayne Allen,IND,TE,1,30,30,23.6,0,6.7,3.3,6.7,9,30,2013
45,Kyle Orton,DAL,QB,3,78,26,7.8,1.3,0,66.7,66.7,20.72,26.6,2013
46,Jay Cutler,CHI,QB,11,636,57.8,60.2,3.6,0,59.6,59.6,168.56,26.5,2013
46,Arian Foster,HOU,RB,8,327,40.9,49.8,37,10.7,43.7,47.7,108.5,33.2,2013
48,Sam Bradford,LAR,QB,7,450,64.3,98.7,3.3,0,61.6,61.6,118.58,26.4,2013
48,Brian Hoyer,CLE,QB,3,152,50.7,43.1,3.9,0,67.1,67.1,40.2,26.4,2013
50,Philip Rivers,LAC,QB,16,1098,68.6,98.9,2.6,0,52.1,52.1,287.42,26.2,2013
51,Alex Smith,KC,QB,15,978,65.2,90.6,7.8,0.1,59.8,59.8,254.22,26,2013
52,Andy Dalton,CIN,QB,16,1117,69.8,98.7,5.5,0,57.9,57.9,288.14,25.8,2013
53,Le'Veon Bell,PIT,RB,13,677,52.1,64.4,36,9.7,42.7,45.8,216.9,32,2013
53,Marvin Jones,CIN,WR,16,542,33.9,47.9,1.5,14.8,10.9,16.2,188.7,34.8,2013
55,Josh Gordon,CLE,WR,14,899,64.2,93.1,0.6,17.7,10.2,18.2,314.4,35,2013
55,Rashad Jennings,OAK,RB,15,548,36.5,52.9,29.7,8.6,36.3,38.3,174.5,31.8,2013
55,Jake Locker,TEN,QB,7,395,56.4,67.1,6.1,0,52.4,52.4,99.74,25.3,2013
58,BenJarvus Green-Ellis,CIN,RB,16,464,29,41,47.4,1.7,48.3,49.1,119.8,25.8,2013
59,Ben Roethlisberger,PIT,QB,16,1052,65.8,100,2.5,0,58,58,260.84,24.8,2013
59,Chris Johnson,TEN,RB,16,798,49.9,74.2,35,6.5,40.2,41.5,240.2,30.1,2013
61,Matthew Stafford,DET,QB,16,1133,70.8,99.8,3.2,0,59.1,59.1,279.4,24.7,2013
62,Calvin Johnson,DET,WR,14,892,63.7,78.6,0,17.5,9.4,17.5,303.2,34,2013
63,Ryan Fitzpatrick,TEN,QB,11,680,61.8,63.3,6.3,0.1,57.9,57.9,167.66,24.7,2013
64,Terrelle Pryor,OAK,WR,11,588,53.5,56.8,14.1,0,60.4,60.4,143.52,24.4,2013
65,Darren McFadden,OAK,RB,10,336,33.6,32.4,33.9,7.4,39.3,41.7,98.34,29.3,2013
66,Cordarrelle Patterson,MIN,WR,16,436,27.2,41.9,2.8,17.7,13.1,20.4,149.7,34.3,2013
67,Pierre Thomas,NO,RB,16,564,35.2,50,26.1,14.9,39.7,41,211.2,37.4,2013
67,Daniel Thomas,MIA,RB,15,348,23.2,33.9,31.3,4.9,35.6,36.2,97.9,28.1,2013
67,Vincent Rey,CIN,OLB,16,341,21.3,31.9,0,0,0,0,81.3,23.8,2013
70,Robert Griffin III,WAS,QB,13,906,69.7,79.2,9.5,0,59.8,59.8,213.02,23.5,2013
70,Robert Quinn,LAR,DE,16,831,51.9,78,0,0,0,0,195,23.5,2013
70,Frank Gore,SF,RB,16,744,46.5,75.1,37.1,3.5,39.2,40.6,190.9,25.7,2013
70,Matt Cassel,MIN,QB,9,459,51,44.1,3.9,0,59.3,59.3,107.98,23.5,2013
74,Matt Ryan,ATL,QB,16,1065,66.6,98.9,1.6,0,62.7,62.7,248.1,23.3,2013
74,Ryan Tannehill,MIA,QB,16,1021,63.8,99.4,3.9,0,61.5,61.5,238.32,23.3,2013
76,Julio Jones,ATL,WR,5,296,59.2,86.3,0.3,19.9,14.2,20.3,109.7,37.1,2013
77,Ben Tate,HOU,RB,14,481,34.4,48.3,37.6,10.2,44.7,47.8,145.1,30.2,2013
78,Jason Campbell,CLE,QB,9,502,55.8,45.4,2.8,0,65.9,65.9,115.3,23,2013
79,Randall Cobb,GB,WR,6,333,55.5,77.8,1.2,14.1,10.5,15.3,106.1,31.9,2013
80,Case Keenum,HOU,QB,8,461,57.6,41.1,3,0,57.9,57.9,103.6,22.5,2013
81,Brandon Bolden,NE,RB,12,269,22.4,22.5,20.4,10.8,28.3,31.2,81.3,30.2,2013
82,Maurice Jones-Drew,JAX,RB,15,647,43.1,61.2,36.2,9.3,43,45.6,187.02,28.9,2013
83,Peyton Hillis,NYG,RB,7,202,28.9,26.4,36.1,10.4,42.6,46.5,57.3,28.4,2013
84,Rob Gronkowski,NE,TE,7,383,54.7,39.3,0,17.2,10.2,17.2,122.2,31.9,2013
85,Brian Cushing,HOU,ILB,7,330,47.1,82.9,0,0,0,0,71.4,21.6,2013
85,Scott Tolzien,GB,QB,3,158,52.7,27.7,3.2,0,60.1,60.1,34.18,21.6,2013
87,Dez Bryant,DAL,WR,16,933,58.3,93.6,0.1,17,10.1,17.1,292.4,31.3,2013
88,Tom Brady,NE,QB,16,1197,74.8,100,2.8,0,55.2,55.2,251.52,21,2013
89,Christian Ponder,MIN,QB,9,511,56.8,49.1,6.7,0,53.4,53.4,107.02,20.9,2013
90,Brandon Marshall,CHI,WR,16,987,61.7,93.4,0,16.6,10.1,16.6,305.5,31,2013
90,Antonio Brown,PIT,WR,16,955,59.7,90.8,0.7,17.4,12.4,18.2,308.9,32.3,2013
90,Matt McGloin,OAK,QB,7,378,54,36.5,2.9,0,58.7,58.7,78.58,20.8,2013
93,Jacquizz Rodgers,ATL,RB,15,435,29,40.4,22.3,14.3,34.3,36.6,141.4,32.5,2013
94,Demaryius Thomas,DEN,WR,16,1106,69.1,91.6,0,12.8,8.3,12.8,319,28.8,2013
95,Lavonte David,TB,OLB,16,1022,63.9,98,0,0,0,0,208.1,20.4,2013
95,Andre Brown,NYG,RB,8,360,45,72.4,38.6,8.1,44.2,46.7,93.5,26,2013
97,Alshon Jeffery,CHI,WR,16,962,60.1,91,1.7,15.5,10.9,17.2,283.6,29.5,2013
97,JJ Watt,HOU,DE,16,960,60,95.2,0,0,0,0,193.6,20.2,2013
99,Carson Palmer,ARI,QB,16,1081,67.6,99.7,2.5,0,55.4,55.4,217.26,20.1,2013
99,Tavon Austin,LAR,WR,13,422,32.5,42,2.1,16.4,11.8,18.7,124.9,29.6,2013
99,Brandon Gibson,MIA,WR,7,252,36,55.6,0,17.1,11.9,17.1,80.6,32,2013
102,Anquan Boldin,SF,WR,16,804,50.2,81.1,0.2,16,10.8,16.3,246,30.6,2013
103,Vernon Davis,SF,TE,15,811,54.1,81.8,0,10.4,6.4,10.4,213,26.3,2013
104,AJ Green,CIN,WR,16,1055,65.9,93.2,0,16.9,9.3,16.9,306.6,29.1,2013
104,Brandon Weeden,CLE,QB,8,452,56.5,40.9,2.7,0,61.7,61.7,89.64,19.8,2013
106,Geno Smith,NYJ,QB,16,985,61.6,93.7,7.3,0.1,52.4,52.4,194.74,19.8,2013
106,William Hayes,LAR,DE,14,345,24.6,32.4,0,0,0,0,67.9,19.7,2013
108,Robert Mathis,IND,OLB,16,841,52.6,79.8,0,0,0,0,162,19.3,2013
109,EJ Manuel,BUF,QB,10,694,69.4,59.8,7.6,0,51.7,51.7,133.48,19.2,2013
109,Justin Blackmon,JAX,WR,4,247,61.8,92.9,0.4,19.4,12.1,19.8,76.4,30.9,2013
111,NaVorro Bowman,SF,ILB,16,1040,65,98.1,0,0,0,0,198,19,2013
111,DeSean Jackson,PHI,WR,16,987,61.7,89.5,0.3,12.8,8.6,13.1,269.4,27.3,2013
111,Jermichael Finley,GB,TE,6,252,42,45.7,0,13.5,9.9,13.5,73,29,2013
114,Karlos Dansby,ARI,ILB,16,1078,67.4,99.6,0,0,0,0,203.8,18.9,2013
115,Mike Glennon,TB,QB,13,842,64.8,81.3,3.2,0,52.6,52.6,158.02,18.8,2013
115,Jerricho Cotchery,PIT,WR,16,636,39.8,60.5,0.2,11.9,7.4,12.1,165.7,26.1,2013
115,Willis McGahee,CLE,RB,12,264,22,27.3,52.3,4.2,55.3,56.4,57.7,21.9,2013
118,Trent Richardson,IND,RB,16,593,37.1,54.8,31.7,8.8,37.6,40.5,144.9,24.4,2013
118,Doug Martin,TB,RB,6,304,50.7,54.3,41.8,7.9,45.7,49.7,68.2,22.4,2013
120,Joe Flacco,BAL,QB,16,1128,70.5,99.3,2.4,0,56.8,56.8,207.58,18.4,2013
120,Eric Decker,DEN,WR,16,1050,65.6,87,0,13,8.3,13,279.8,26.6,2013
120,Vontaze Burfict,CIN,OLB,16,1029,64.3,96.3,0,0,0,0,189.5,18.4,2013
120,Jordan Reed,WAS,TE,9,379,42.1,37.8,0.3,15.6,12.1,15.8,114.7,30.3,2013
124,T.Y. Hilton,IND,WR,16,759,47.4,70.9,0.3,18.2,11.1,18.4,220.9,29.1,2013
124,Matt Flynn,GB,QB,7,394,56.3,38.9,5.1,0,55.8,55.8,72.18,18.3,2013
126,Paul Posluszny,JAX,ILB,15,1039,69.3,92.7,0,0,0,0,187.4,18,2013
126,Chad Henne,JAX,QB,15,898,59.9,85,3,0,59,59,161.34,18,2013
128,Justin Hunter,TEN,WR,14,335,23.9,31.2,0,12.5,5.4,12.5,77.4,23.1,2013
129,Wes Welker,DEN,WR,13,770,59.2,63.8,0,14.4,9.5,14.4,208.8,27.1,2013
129,Ted Ginn,CAR,WR,16,502,31.4,48.8,0.8,13.5,8,14.3,124.5,24.8,2013
131,Jerrell Freeman,IND,ILB,16,958,59.9,90.9,0,0,0,0,166.8,17.4,2013
132,Eli Manning,NYG,QB,16,986,61.6,96.1,1.8,0,57.7,57.7,170.32,17.3,2013
132,Dimitri Patterson,MIA,CB,6,237,39.5,26,0,0,0,0,41,17.3,2013
132,DJ Williams,CHI,ILB,6,213,35.5,57,0,0,0,0,36.8,17.3,2013
135,Andre Johnson,HOU,WR,16,994,62.1,88.7,0,18.2,11,18.2,279.7,28.1,2013
135,Matt Schaub,HOU,QB,10,610,61,54.4,0.8,0,59.5,59.5,104.8,17.2,2013
137,Ray Rice,BAL,RB,15,703,46.9,61.9,30.4,10.4,38.7,40.8,178.1,25.3,2013
137,Lance Briggs,CHI,OLB,9,557,61.9,53.5,0,0,0,0,95.1,17.1,2013
139,Vincent Jackson,TB,WR,16,969,60.6,93.5,0.1,16.5,8.2,16.6,242.4,25,2013
139,Chase Daniel,KC,QB,5,100,20,9.3,15,0,53,53,17.02,17,2013
139,Jerrell Powe,KC,NT,2,40,20,18.6,0,0,0,0,6.8,17,2013
142,Denarius Moore,OAK,WR,13,590,45.4,56.9,0,14.6,7.8,14.6,145.5,24.7,2013
142,Malcom Floyd,LAC,WR,2,88,44,33,0,12.5,6.8,12.5,20.9,23.8,2013
144,Pierre Garcon,WAS,WR,16,978,61.1,85.5,0.2,18.6,11.8,18.8,277.5,28.4,2013
144,Bilal Powell,NYJ,RB,16,618,38.6,58.8,28.5,9.2,34.5,37.9,140.1,22.7,2013
144,Brad Jones,GB,ILB,12,585,48.8,55.7,0,0,0,0,98.5,16.8,2013
144,Da'Rel Scott,NYG,RB,5,140,28,45.5,14.3,13.6,22.1,27.9,34.5,24.6,2013
148,Julius Thomas,DEN,TE,14,901,64.4,74.6,0,10,7.2,10,215.8,24,2013
149,Jordy Nelson,GB,WR,16,1083,67.7,96.5,0,11.7,7.8,11.7,264.4,24.4,2013
149,Marques Colston,NO,WR,15,750,50,66.5,0,14.8,10,14.8,199.3,26.6,2013
149,Bernard Pierce,BAL,RB,16,398,24.9,35,38.2,6.3,43.2,44.5,86,21.6,2013
149,Dallas Clark,BAL,TE,12,316,26.3,27.8,0,16.5,9.8,16.5,83.3,26.4,2013
149,Daryl Richardson,LAR,RB,8,203,25.4,20.2,34,8.9,40.9,42.9,47.6,23.4,2013
154,Rueben Randle,NYG,WR,16,578,36.1,56.3,0,13.5,7.1,13.5,136.1,23.5,2013
154,Thaddeus Lewis,BUF,QB,6,356,59.3,45.9,6.7,0,50.8,50.8,58.88,16.5,2013
156,Dre Kirkpatrick,CIN,CB,14,302,21.6,28.3,0,0,0,0,49.6,16.4,2013
157,Luke Kuechly,CAR,ILB,16,989,61.8,97.6,0,0,0,0,161,16.3,2013
157,Mason Foster,TB,ILB,15,770,51.3,73.8,0,0,0,0,125.4,16.3,2013
157,Sean Lee,DAL,OLB,11,702,63.8,61.6,0,0,0,0,114.5,16.3,2013
160,Brian Orakpo,WAS,OLB,15,813,54.2,79.6,0,0,0,0,131.2,16.1,2013
160,Golden Tate,SEA,WR,16,762,47.6,75.3,0.4,13,8.8,13.4,186.9,24.5,2013
160,Mike Tolbert,CAR,FB,16,599,37.4,58.2,16.9,5.5,21.4,22.4,123.5,20.6,2013
163,Zach Brown,TEN,ILB,16,757,47.3,71.1,0,0,0,0,121.1,16,2013
164,Justin Houston,KC,OLB,11,696,63.3,62.9,0,0,0,0,111,15.9,2013
165,Danny Trevathan,DEN,ILB,16,947,59.2,85.5,0,0,0,0,149.8,15.8,2013
165,Greg Hardy,CAR,DE,16,872,54.5,86.1,0,0,0,0,137.8,15.8,2013
165,Eddie Royal,LAC,WR,15,703,46.9,63.3,0.4,9.5,7.1,10,158.2,22.5,2013
165,Marcel Reece,OAK,FB,16,505,31.6,48.7,9.1,10.7,15.6,20,111.78,22.1,2013
165,Zach Ertz,PHI,TE,16,450,28.1,40.8,0,12.4,8,12.4,106.9,23.8,2013
165,Tommy Kelly,NE,DT,5,218,43.6,37.3,0,0,0,0,34.5,15.8,2013
171,Keenan Allen,LAC,WR,15,944,62.9,85,0,11,7.5,11,219.6,23.3,2013
171,Lamar Miller,MIA,RB,16,623,38.9,60.7,28.4,5.6,32.6,34,123.9,19.9,2013
171,Jerry Hughes,BUF,DE,16,603,37.7,52.7,0,0,0,0,94.6,15.7,2013
171,David Wilson,NYG,RB,5,111,22.2,21,39.6,5.4,41.4,45,19.4,17.5,2013
175,Michael Bennett,SEA,DE,16,599,37.4,58.2,0,0,0,0,93.4,15.6,2013
176,Larry Fitzgerald,ARI,WR,16,998,62.4,92.1,0.2,13.5,8.5,13.8,236.2,23.7,2013
176,Bobby Wagner,SEA,ILB,14,861,61.5,83.6,0,0,0,0,133.6,15.5,2013
176,Erin Henderson,MIN,ILB,14,849,60.6,73.1,0,0,0,0,132,15.5,2013
176,Victor Cruz,NYG,WR,14,785,56.1,76.5,0,15.5,9.3,15.5,194.8,24.8,2013
180,Kellen Clemens,LAR,QB,10,554,55.4,55.2,4.2,0,47.8,47.8,85.32,15.4,2013
181,Ladarius Green,LAC,TE,16,364,22.8,32.8,0,8,4.7,8,72.6,19.9,2013
181,Kellen Winslow,NYJ,TE,12,333,27.8,43,0,14.1,9.3,14.1,81.8,24.6,2013
183,Derrick Johnson,KC,ILB,15,1009,67.3,91.2,0,0,0,0,153.7,15.2,2013
183,Thomas Davis,CAR,OLB,16,989,61.8,97.6,0,0,0,0,150.6,15.2,2013
183,Da'Rick Rogers,IND,WR,5,205,41,37.8,0.5,11.2,7.3,11.7,45.2,22,2013
183,Tyvon Branch,OAK,SS,2,64,32,7.3,0,0,0,0,9.7,15.2,2013
187,Mychal Kendricks,PHI,OLB,15,995,66.3,84.4,0,0,0,0,149.9,15.1,2013
187,Reggie Wayne,IND,WR,7,428,61.1,92.4,0.2,13.6,9.1,13.8,102.8,24,2013
187,Chris Simms,NYJ,QB,3,66,22,6.3,7.6,0,54.5,54.5,9.94,15.1,2013
190,Daryl Smith,BAL,OLB,16,1071,66.9,99.5,0,0,0,0,160.3,15,2013
190,Paul Worrilow,ATL,ILB,16,771,48.2,74.1,0,0,0,0,115.7,15,2013
190,Rod Streater,OAK,WR,16,748,46.8,72.2,0.3,13.2,8.3,13.5,172.5,23.1,2013
190,Terrance Williams,DAL,WR,16,678,42.4,68,0.4,10.9,6.9,11.4,146,21.5,2013
194,Justin Tuck,NYG,DE,16,872,54.5,77.4,0,0,0,0,129.5,14.9,2013
194,Kendall Wright,TEN,WR,16,807,50.4,75.1,0,17.2,11.6,17.2,213.9,26.5,2013
194,Charles Tillman,CHI,CB,8,432,54,76.3,0,0,0,0,64.5,14.9,2013
194,Vick Ballard,IND,RB,1,39,39,70.9,33.3,5.1,35.9,38.5,6.8,17.4,2013
198,Alec Ogletree,LAR,ILB,16,1033,64.6,97,0,0,0,0,152.4,14.8,2013
198,DeAndre Levy,DET,OLB,16,1017,63.6,98.6,0,0,0,0,151,14.8,2013
198,Colin McCarthy,TEN,ILB,16,330,20.6,31,0,0,0,0,49,14.8,2013
201,Barry Church,DAL,SS,16,1018,63.6,89.3,0,0,0,0,150,14.7,2013
201,Brandon Boykin,PHI,CB,16,616,38.5,52.2,0,0,0,0,90.5,14.7,2013
201,Von Miller,DEN,OLB,9,539,59.9,83.8,0,0,0,0,79.4,14.7,2013
201,Jarius Wright,MIN,WR,16,417,26.1,40.1,0,10.3,6.2,10.3,87.4,21,2013
205,Kiko Alonso,BUF,OLB,16,1145,71.6,100,0,0,0,0,166.7,14.6,2013
205,Clay Matthews,GB,OLB,11,560,50.9,53.3,0,0,0,0,82,14.6,2013
205,Reed Doughty,WAS,FS,15,407,27.1,39.9,0,0,0,0,59.5,14.6,2013
205,Marquise Goodwin,BUF,WR,12,313,26.1,27,1,10.2,6.4,11.2,62.6,20,2013
205,DeVonte Holloman,DAL,OLB,9,207,23,18.2,0,0,0,0,30.2,14.6,2013
210,Doug Baldwin,SEA,WR,16,749,46.8,74,0.3,9.7,6.9,10,158.4,21.1,2013
210,Nick Fairley,DET,DT,15,667,44.5,64.7,0,0,0,0,96.7,14.5,2013
210,Malik Jackson,DEN,DT,16,590,36.9,53.2,0,0,0,0,85.4,14.5,2013
210,Elvis Dumervil,BAL,DE,15,557,37.1,51.8,0,0,0,0,80.9,14.5,2013
210,Roy Helu,WAS,RB,16,527,32.9,46.1,11.8,8,17.6,19.7,107.5,20.4,2013
210,Michael Crabtree,SF,WR,5,237,47.4,72.9,0,13.9,8,13.9,53.4,22.5,2013
210,Sealver Siliga,NE,DT,5,218,43.6,63.9,0,0,0,0,31.6,14.5,2013
210,Dennis Pitta,BAL,TE,4,158,39.5,54.1,0,20.9,12.7,20.9,42.9,27.2,2013
218,Julian Edelman,NE,WR,16,1021,63.8,85.3,0.2,14.8,10.5,15,251.7,24.7,2013
218,Michael Floyd,ARI,WR,16,930,58.1,85.8,0,11.9,7,11.9,199.1,21.4,2013
218,Patrick Willis,SF,ILB,14,863,61.6,81.4,0,0,0,0,124.2,14.4,2013
218,Emmanuel Sanders,PIT,WR,16,797,49.8,75.8,0.1,14.1,8.5,14.2,181.5,22.8,2013
218,Tim Wright,TB,TE,16,608,38,58.7,0.2,12.5,9,12.7,141.3,23.2,2013
218,Aldon Smith,SF,OLB,11,574,52.2,79.4,0,0,0,0,82.4,14.4,2013
218,Vinny Curry,PHI,DE,14,317,22.6,26.9,0,0,0,0,45.5,14.4,2013
225,Jason Hatcher,DAL,DE,15,747,49.8,65.5,0,0,0,0,106.7,14.3,2013
225,Leonard Hankerson,WAS,WR,10,389,38.9,52.6,0,12.9,7.7,12.9,85.5,22,2013
227,Daryl Washington,ARI,ILB,12,798,66.5,99.1,0,0,0,0,113.3,14.2,2013
227,Terrell Thomas,NYG,CB,16,568,35.5,50.4,0,0,0,0,80.5,14.2,2013
229,AJ Hawk,GB,OLB,16,994,62.1,94.7,0,0,0,0,140,14.1,2013
229,Greg Jennings,MIN,WR,15,742,49.5,71.3,0,14.3,9.2,14.3,172.4,23.2,2013
229,Manny Lawson,BUF,OLB,15,706,47.1,61.7,0,0,0,0,99.2,14.1,2013
229,David Hawthorne,NO,OLB,16,680,42.5,70,0,0,0,0,95.8,14.1,2013
229,Antonio Allen,NYJ,FS,16,535,33.4,48.5,0,0,0,0,75.2,14.1,2013
229,Malcolm Smith,SEA,OLB,15,482,32.1,46.8,0,0,0,0,67.8,14.1,2013
229,Akeem Jordan,KC,ILB,16,469,29.3,42.4,0,0,0,0,66,14.1,2013
229,Kirk Cousins,WAS,QB,5,238,47.6,20.8,1.7,0,66.8,66.8,33.56,14.1,2013
237,Riley Cooper,PHI,WR,16,980,61.2,88.8,0,8.5,4.8,8.5,184.3,18.8,2013
237,Charles Clay,MIA,TE,16,855,53.4,83.3,0.8,11.9,8.9,12.7,188.4,22,2013
237,Griff Whalen,IND,WR,9,271,30.1,38.8,0,14.8,8.9,14.8,61.9,22.8,2013
240,Cameron Jordan,NO,DE,16,896,56,92.2,0,0,0,0,124.1,13.9,2013
240,Corey Graham,BAL,FS,16,687,42.9,63.8,0,0,0,0,95.5,13.9,2013
240,Jarrett Boykin,GB,WR,16,663,41.4,59.1,0,12.5,7.4,12.5,141.1,21.3,2013
240,Aaron Dobson,NE,WR,12,547,45.6,45.7,0,13.2,6.8,13.2,112.9,20.6,2013
240,Jerod Mayo,NE,ILB,6,399,66.5,96.4,0,0,0,0,55.5,13.9,2013
245,Kevin Burnett,OAK,OLB,16,971,60.7,90.4,0,0,0,0,134.1,13.8,2013
245,Jordan Cameron,CLE,TE,15,969,64.6,87.6,0,12.2,8.3,12.2,213.7,22.1,2013
245,Brian Hartline,MIA,WR,16,907,56.7,88.3,0,14.8,8.4,14.8,201.6,22.2,2013
245,Da'Norris Searcy,BUF,SS,16,729,45.6,63.7,0,0,0,0,100.4,13.8,2013
245,Kenny Stills,NO,WR,16,690,43.1,61.2,0.4,7.2,5.1,7.7,127.1,18.4,2013
245,Robert McClain,ATL,CB,16,575,35.9,55.2,0,0,0,0,79.4,13.8,2013
245,Cliff Avril,SEA,DE,15,553,36.9,53.7,0,0,0,0,76.4,13.8,2013
245,Micah Hyde,GB,SS,16,418,26.1,39.8,0,0,0,0,57.5,13.8,2013
253,Stephen Tulloch,DET,ILB,16,1027,64.2,99.6,0,0,0,0,140.4,13.7,2013
253,Eric Berry,KC,FS,15,1010,67.3,91.3,0,0,0,0,138.1,13.7,2013
253,Terrell Suggs,BAL,OLB,16,903,56.4,83.9,0,0,0,0,123.3,13.7,2013
253,Jason Worilds,PIT,OLB,15,772,51.5,72.1,0,0,0,0,106,13.7,2013
253,Charles Godfrey,CAR,SS,2,112,56,80,0,0,0,0,15.3,13.7,2013
258,Lawrence Timmons,PIT,OLB,16,1070,66.9,100,0,0,0,0,145.4,13.6,2013
258,James Laurinaitis,LAR,ILB,16,1055,65.9,99.1,0,0,0,0,143.1,13.6,2013
258,Tamba Hali,KC,OLB,15,942,62.8,85.2,0,0,0,0,128.3,13.6,2013
258,Junior Galette,NO,OLB,16,836,52.2,86,0,0,0,0,113.3,13.6,2013
258,Donald Butler,LAC,OLB,13,699,53.8,70.4,0,0,0,0,95.1,13.6,2013
263,Tony Gonzalez,ATL,TE,16,1003,62.7,93.1,0,12.1,8.3,12.1,218.9,21.8,2013
263,Jason Witten,DAL,TE,16,984,61.5,98.7,0,11.3,7.4,11.3,206.1,20.9,2013
