Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
1,Ryan Mathews,LAC,RB,16,471,29.4,42.4,60.5,7,66,67.5,210.4,44.7,2013
2,Nick Foles,PHI,QB,13,702,54,63.6,8.1,0,53.3,53.3,259.74,37,2013
3,Jamaal Charles,KC,RB,15,845,56.3,78.3,30.7,12.3,38.9,43,378,44.7,2013
4,Edwin Baker,CLE,RB,3,97,32.3,51.3,44.3,9.3,52.6,53.6,42.8,44.1,2013
5,Peyton Manning,DEN,QB,16,1156,72.2,95.8,2.8,0,59.8,59.8,409.98,35.5,2013
6,Stevan Ridley,NE,RB,14,333,23.8,27.8,53.5,3.6,56.5,57.1,127.5,38.3,2013
7,Ahmad Bradshaw,IND,RB,3,102,34,29.9,40.2,7.8,47.1,48,41.8,41,2013
8,Marshawn Lynch,SEA,RB,16,711,44.4,70.3,42.3,6.2,47.4,48.5,275.3,38.7,2013
8,Knowshon Moreno,DEN,RB,16,703,43.9,58.2,34.3,10.5,42.8,44.8,296.6,42.2,2013
10,Donald Brown,IND,RB,16,373,23.3,34.9,27.3,9.4,34.6,36.7,150.1,40.2,2013
11,Brandon Jacobs,NYG,RB,7,143,20.4,18.4,40.6,4.9,42,45.5,49.1,34.3,2013
12,Jonathan Grimes,HOU,RB,2,58,29,46,36.2,10.3,46.6,46.6,24.9,42.9,2013
13,Josh McCown,CHI,QB,8,421,52.6,39.8,3.1,0,56.3,56.3,136.06,32.3,2013
14,Drew Brees,NO,QB,16,1111,69.4,98.6,3.2,0,61.7,61.7,357.68,32.2,2013
15,LeSean McCoy,PHI,RB,16,872,54.5,79.1,36,7.3,42,43.3,330.6,37.9,2013
16,CJ Spiller,BUF,RB,15,389,25.9,33.5,51.7,10.5,60.4,62.2,156.4,40.2,2013
