Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
74,Brandon Marshall,CHI,WR,16,969,60.6,92.6,0.1,20,12.3,20.1,334.6,34.5,2012
75,Sam Bradford,LAR,QB,16,1036,64.8,99.2,3.6,0,56.8,56.8,230.78,22.3,2012
75,Jake Locker,TEN,QB,11,593,53.9,59.5,6.9,0,59.9,59.9,132.14,22.3,2012
77,Julio Jones,ATL,WR,16,836,52.2,78.9,0.7,15.4,10.2,16.1,261.8,31.3,2012
77,Jimmy Graham,NO,TE,15,695,46.3,62.8,0,19.4,12.2,19.4,237.2,34.1,2012
79,Chris Johnson,TEN,RB,16,813,50.8,81.6,33.9,6,38.4,40,211.5,26,2012
80,Ryan Fitzpatrick,BUF,QB,16,997,62.3,98.6,4.8,0,55.5,55.5,213.7,21.4,2012
80,William Hayes,LAR,DE,16,369,23.1,34.3,0,0,0,0,78.8,21.4,2012
80,Jarius Wright,MIN,WR,7,206,29.4,19.9,1,17.5,11.7,18.4,66.1,32.1,2012
83,Jonathan Dwyer,PIT,RB,13,380,29.2,35.6,41.1,6.6,45.8,47.6,98.9,26,2012
84,AJ Green,CIN,WR,16,960,60,90.8,0.4,17.1,10.5,17.5,299.8,31.2,2012
84,Daniel Thomas,MIA,RB,12,323,26.9,35.4,28.2,6.8,32.8,35,83.1,25.7,2012
86,Cecil Shorts,JAX,WR,14,656,46.9,66.3,0.2,16,8.5,16.2,192.5,29.3,2012
87,LeSean McCoy,PHI,RB,12,695,57.9,61.7,28.8,9.6,36.5,38.4,199.3,28.7,2012
88,LaRod Stephens-Howling,ARI,RB,14,338,24.1,32.1,32.5,8.9,37.6,41.4,87.2,25.8,2012
89,Chad Henne,JAX,QB,10,546,54.6,51.4,3.5,0.2,60.1,60.1,114.16,20.9,2012
90,Marques Colston,NO,WR,16,831,51.9,75.1,0,15.6,10,15.6,254.4,30.6,2012
90,Bilal Powell,NYJ,RB,14,397,28.4,37,27.7,9.1,32,36.8,98.7,24.9,2012
92,Cedric Benson,GB,RB,5,199,39.8,57.2,35.7,7.5,42.7,43.2,54.5,27.4,2012
93,Philip Rivers,LAC,QB,16,1025,64.1,100,2.6,0.1,54,54.1,208.24,20.3,2012
94,Matt Schaub,HOU,QB,16,1104,69,98,1.9,0.1,51.3,51.3,223.82,20.3,2012
95,Jay Cutler,CHI,QB,15,920,61.3,88,4.5,0,51.6,51.6,184.62,20.1,2012
96,Von Miller,DEN,OLB,16,962,60.1,89.9,0,0,0,0,192.4,20,2012
97,Zach Brown,TEN,ILB,16,742,46.4,65.8,0,0,0,0,147.8,19.9,2012
97,Jordy Nelson,GB,WR,12,595,49.6,53.9,0,12.3,8.2,12.3,167.5,28.2,2012
99,Vick Ballard,IND,RB,16,579,36.2,49.5,36.4,4.7,39.4,41.1,131.6,22.7,2012
100,Donald Brown,IND,RB,10,299,29.9,30.7,36.1,4.3,39.1,40.5,68,22.7,2012
101,Jonathan Stewart,CAR,RB,9,312,34.7,30.3,29.8,7.4,35.3,37.2,78.3,25.1,2012
102,Rob Gronkowski,NE,TE,11,733,66.6,59.2,0,10.9,7.5,10.9,198,27,2012
102,T.Y. Hilton,IND,WR,15,673,44.9,57.6,0.7,13.4,8.3,14.3,181,26.9,2012
102,Mike Tolbert,CAR,FB,16,446,27.9,43.3,12.1,8.7,18.2,20.9,114.1,25.6,2012
105,Demaryius Thomas,DEN,WR,16,1018,63.6,89.1,0,13.9,9.2,13.9,291.4,28.6,2012
105,Matt Hasselbeck,TEN,QB,8,395,49.4,39.7,3.3,0,59.2,59.2,76.48,19.4,2012
107,Vincent Jackson,TB,WR,16,976,61,93,0,15.1,7.4,15.1,260.4,26.7,2012
108,Sean Lee,DAL,OLB,6,313,52.2,90.2,0,0,0,0,60,19.2,2012
109,Calvin Johnson,DET,WR,16,1151,71.9,96,0,17.7,10.6,17.7,342.4,29.7,2012
110,Jacquizz Rodgers,ATL,RB,16,465,29.1,43.9,20.2,12.7,31.6,32.9,141.4,30.4,2012
110,Nick Foles,PHI,QB,7,454,64.9,42.8,2.4,0,60.8,60.8,86.16,19,2012
112,Andre Johnson,HOU,WR,16,976,61,86.6,0,16.7,11.5,16.7,295.8,30.3,2012
113,Christian Ponder,MIN,QB,16,1032,64.5,99.7,5.8,0.1,52.7,52.7,194.2,18.8,2012
113,Luke Kuechly,CAR,ILB,16,921,57.6,87.6,0,0,0,0,171.9,18.7,2012
113,Victor Cruz,NYG,WR,16,904,56.5,88.6,0,15.8,9.5,15.8,255.2,28.2,2012
113,Darren McFadden,OAK,RB,12,592,49.3,54.8,36.5,10.6,43.6,47.1,152.5,25.8,2012
117,Ryan Tannehill,MIA,QB,16,981,61.3,94.7,5,0,54.3,54.3,182.86,18.6,2012
117,Mike Williams,TB,WR,16,832,52,79.3,0,15.1,7.7,15.3,217.72,26.2,2012
119,Carlos Dunlap,CIN,DE,14,587,41.9,55.5,0,0,0,0,108,18.4,2012
120,Blaine Gabbert,JAX,QB,10,516,51.6,80.8,3.5,0,57.4,57.4,94.08,18.2,2012
120,Jordan Norwood,CLE,WR,2,76,38,23.9,1.3,25,18.4,26.3,26.8,35.3,2012
122,Brandon Graham,PHI,DE,16,420,26.2,40.1,0,0,0,0,76.2,18.1,2012
123,Roddy White,ATL,WR,16,988,61.8,93.2,0,14.5,9.3,14.5,269.1,27.2,2012
124,Brandon Weeden,CLE,QB,15,929,61.9,90.1,2.9,0,58.6,58.6,165.6,17.8,2012
124,Domenik Hixon,NYG,WR,13,386,29.7,37.8,0,15.3,10.1,15.3,107.7,27.9,2012
124,Keith Rivers,NYG,OLB,11,233,21.2,22.3,0,0,0,0,41.5,17.8,2012
127,Demorrio Williams,LAC,LB,14,358,25.6,33.9,0,0,0,0,63.5,17.7,2012
128,Daryl Washington,ARI,ILB,16,1058,66.1,98,0,0,0,0,186.1,17.6,2012
128,Eric Decker,DEN,WR,16,1047,65.4,91.6,0,11.7,8.1,11.7,269.4,25.7,2012
130,Charles Tillman,CHI,CB,16,921,57.6,88.7,0,0,0,0,161,17.5,2012
131,Byron Leftwich,PIT,QB,2,104,52,9.7,1,0,51.9,51.9,17.98,17.3,2012
132,Kavell Conner,IND,ILB,14,324,23.1,30.7,0,0,0,0,55.5,17.1,2012
133,Aldon Smith,SF,OLB,16,1003,62.7,96,0,0,0,0,170.5,17,2012
133,Bobby Wagner,SEA,ILB,16,850,53.1,85.9,0,0,0,0,144.6,17,2012
133,Anthony Spencer,DAL,OLB,14,847,60.5,82.3,0,0,0,0,144.3,17,2012
133,Dannell Ellerbe,BAL,ILB,13,651,50.1,57.3,0,0,0,0,110.4,17,2012
133,Dennis Pitta,BAL,TE,16,639,39.9,58.6,0,14.7,9.5,14.7,169.9,26.6,2012
133,Alex Green,GB,RB,12,347,28.9,31.5,38.9,8.4,44.1,47.3,76.9,22.2,2012
133,Brian Hoyer,ARI,QB,2,81,40.5,26,1.2,0,66.7,66.7,13.8,17,2012
140,Ronald Talley,ARI,DE,3,71,23.7,14.7,0,0,0,0,12,16.9,2012
140,Thaddeus Lewis,CLE,QB,1,62,62,16.3,1.6,0,53.2,53.2,10.46,16.9,2012
142,AJ Hawk,GB,OLB,16,734,45.9,67.5,0,0,0,0,123.2,16.8,2012
142,Dont'a Hightower,NE,LB,14,568,40.6,51.9,0,0,0,0,95.6,16.8,2012
144,Geno Atkins,CIN,DT,16,787,49.2,74.5,0,0,0,0,131.5,16.7,2012
145,Danny Amendola,LAR,WR,11,503,45.7,48.2,0.4,20.1,12.9,20.5,146.4,29.1,2012
145,Ronnie Brown,LAC,RB,14,355,25.4,34.6,13,16.9,26.8,29.9,108.1,30.5,2012
145,Santonio Holmes,NYJ,WR,4,188,47,73.2,0,21.8,10.6,21.8,51.2,27.2,2012
148,Wesley Woodyard,DEN,ILB,15,877,58.5,82,0,0,0,0,144.7,16.5,2012
148,Greg Hardy,CAR,DE,15,749,49.9,71.3,0,0,0,0,123.5,16.5,2012
150,Darius Butler,IND,FS,11,371,33.7,43.7,0,0,0,0,61,16.4,2012
151,Lawrence Timmons,PIT,OLB,16,984,61.5,99.8,0,0,0,0,160.6,16.3,2012
151,Mason Foster,TB,ILB,16,739,46.2,68.8,0,0,0,0,120.4,16.3,2012
