Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
272,Karlos Dansby,MIA,ILB,16,1101,68.8,98.5,0,0,0,0,140.4,12.8,2012
272,Morgan Burnett,GB,SS,16,1088,68,100,0,0,0,0,139,12.8,2012
272,Stephen Nicholas,ATL,OLB,16,873,54.6,85.4,0,0,0,0,112,12.8,2012
272,Chris Clemons,SEA,DE,16,869,54.3,87.8,0,0,0,0,111.2,12.8,2012
272,Cliff Avril,DET,DE,16,686,42.9,66.4,0,0,0,0,87.6,12.8,2012
272,Henry Melton,CHI,DT,14,607,43.4,58.5,0,0,0,0,77.9,12.8,2012
272,Jacob Tamme,DEN,TE,16,528,33,46.2,0,15.9,9.8,15.9,119.5,22.6,2012
272,Reed Doughty,WAS,FS,16,383,23.9,35.7,0,0,0,0,49,12.8,2012
272,Greg McElroy,NYJ,QB,2,90,45,8.4,8.9,0,43.3,43.3,11.56,12.8,2012
281,Tim Jennings,CHI,CB,14,886,63.3,85.4,0,0,0,0,112.5,12.7,2012
281,Justin Durant,DET,ILB,16,851,53.2,82.4,0,0,0,0,107.9,12.7,2012
281,Leonard Hankerson,WAS,WR,16,573,35.8,55.5,0.3,9.9,7,10.3,110.8,19.3,2012
281,Quinton Coples,NYJ,DE,16,503,31.4,47.1,0,0,0,0,64,12.7,2012
281,Alshon Jeffery,CHI,WR,10,431,43.1,41.2,0,11.1,5.6,11.1,78.7,18.3,2012
286,Mark Sanchez,NYJ,QB,15,938,62.5,87.3,2.3,0,50.6,50.6,118.12,12.6,2012
286,Brian Hartline,MIA,WR,16,894,55.9,86.3,0,14.7,8.3,14.7,186.3,20.8,2012
286,Brandon LaFell,CAR,WR,14,757,54.1,73.5,0.4,10,6.2,10.4,139.2,18.4,2012
286,Marcel Reece,OAK,FB,16,657,41.1,60.8,9,11.1,16.9,20.1,134.7,20.5,2012
286,Robert Mathis,IND,OLB,12,627,52.2,59.4,0,0,0,0,78.9,12.6,2012
286,Doug Baldwin,SEA,WR,14,434,31,42.7,0,11.5,6.7,11.5,83.6,19.3,2012
286,Trumaine Johnson,LAR,CB,16,356,22.2,33.1,0,0,0,0,45,12.6,2012
293,LaRon Landry,NYJ,FS,16,1019,63.7,95.5,0,0,0,0,127,12.5,2012
293,Justin Blackmon,JAX,WR,16,965,60.3,90.8,0.2,13.7,6.8,13.9,184.8,19.2,2012
293,Owen Daniels,HOU,TE,15,863,57.5,76.6,0,12.1,7.2,12.1,169.6,19.7,2012
293,James Harrison,PIT,LB,13,812,62.5,82.4,0,0,0,0,101.1,12.5,2012
293,Nate Washington,TEN,WR,16,789,49.3,79.2,0,11.4,5.8,11.4,144.6,18.3,2012
293,Casey Hayward,GB,CB,16,684,42.8,62.9,0,0,0,0,85.5,12.5,2012
293,Mike Harris,JAX,CB,15,529,35.3,46.4,0,0,0,0,66.1,12.5,2012
293,Juqua Parker,CLE,DE,16,528,33,45.5,0,0,0,0,65.8,12.5,2012
